problem_id,bkt_slip,bkt_guess
2MZER0YXHT,0.05,0.0
SXFPGQ0Z7,0.1,0.1
C4U09P1SM,0.1,0.1
1Q6NCCELIN,0.15,0.1
36DSFWGZG,0.05,0.25
1S7LMAOIMF,0.05,0.0
TVGBQNNKJ,0.05,0.0
22K79SJ6IS,0.05,0.0
136ZI6CC2G,0.05,0.0
181QNGS9WZ,0.05,0.0
DVF7NFCUY,0.05,0.25
7T9YYNDB4,0.15,0.25
2I02C5SC9A,0.15,0.0
1E4B5JYKH0,0.05,0.0
268CJ8EUZV,0.1,0.0
1UI60S819T,0.05,0.0
22ZHKMW5Y5,0.05,0.0
13HT88HNEM,0.2,0.1
2AXV37HCBH,0.05,0.0
264NIM2G4A,0.05,0.0
1MZQD0TLJ4,0.05,0.0
1ZF0M17MBY,0.05,0.0
21NIU0GSXP,0.05,0.0
14FBQS3M2Y,0.05,0.0
BVYFZWT5X,0.05,0.0
1DAQHIEWII,0.05,0.0
22GHXO3AE9,0.05,0.1
3HY3FTT59,0.05,0.1
SLJOACCK7,0.05,0.1
1ZLM3AZ6UU,0.2,0.1
280IAL8QZ4,0.05,0.25
1LJFANFFC,0.05,0.25
166E7T2ZD5,0.05,0.25
1ZCUIDKL1G,0.05,0.25
1RP0AN98KA,0.05,0.25
1H4A5HPQ9N,0.2,0.1
T2L4VDGB8,0.15,0.1
17BT9B3SHQ,0.2,0.0
19DUK5C65,0.1,0.0
V3OZ250PA,0.15,0.0
1EELQ95VSJ,0.05,0.0
9WFSIRX8X,0.05,0.0
1IM73HGHPO,0.05,0.0
2NZGJXHLLO,0.05,0.0
1EJM0PCJLW,0.05,0.0
24XYQZRATY,0.05,0.0
A8XOIVDXF,0.05,0.0
LM1XKCUJI,0.05,0.0
2LA9T4RIEE,0.05,0.0
1RAKPOND5R,0.05,0.0
2DQXGJ7UUB,0.05,0.0
13NIT6OOSC,0.05,0.0
7F7T6DZ31,0.05,0.0
1QTQ45DDI2,0.05,0.0
1ULUIELZE4,0.05,0.0
2I10B6IFXQ,0.05,0.0
24J77S5XBI,0.05,0.0
1FHX5DW97U,0.05,0.0
23OOEGXMKY,0.05,0.0
263J0Y3PSH,0.05,0.0
1W61FE8V93,0.05,0.0
2MUYUGEFSN,0.05,0.0
XL87MYBQK,0.05,0.0
BIZV2QX2R,0.05,0.0
1AMYPZUOLZ,0.05,0.0
23LX6ZSI9E,0.05,0.0
1TY3TGTDFW,0.05,0.0
1PP4GKH1T5,0.05,0.0
296CD3OU38,0.05,0.0
269CQB9FO0,0.05,0.0
1CCUAO097Q,0.05,0.0
2H3WGKAWNE,0.05,0.0
BJYL7FYHH,0.05,0.0
2FO7VXNZY0,0.15,0.0
2MZPQ9BZVN,0.05,0.0
HG9MIVG2S,0.05,0.0
21JS8UYHAD,0.05,0.0
X8VGRJVVY,0.05,0.0
17C315P8H3,0.05,0.0
CUZYPR750,0.05,0.0
2C9CE0HQ5C,0.05,0.0
21RGXEWSJE,0.05,0.0
