problem_id,irt_difficulty
104GN803C7,0.4631
1052VSI90Q,0.2837
1056MOBB1X,0.3507
107HWF0F0D,0.5575
10B335WIH,0.1579
10BM23AWDO,0.2841
10CIBCCQRG,0.0945
10FMHR2CYN,0.3096
10SSP5RETT,0.4369
10T2B0N9A0,0.5416
10VCHKBZ2A,0.7136
10VLMC97FW,0.494
10X056K44,0.7646
10YSIUB392,0.0823
10Z5Q3G5X5,0.2942
110PI51YMQ,0.5402
11738AJNXZ,0.2454
1198RDHBTJ,0.3102
11APCESCRC,0.4697
11EDV698UH,0.762
11EMB9D8YD,0.6987
11EMFVBKYP,0.3894
11FDIVRT0,0.687
11LIBS6V9U,0.3609
11NP4ZBJHH,0.5085
11OIO7Q0X1,0.2747
11T79IQ2ZS,0.3978
11WZYZYFHN,0.3272
11XOUTD81M,0.1931
11ZYG3DAA1,0.1827
123M9UFYL2,0.5077
124BUBG3I0,0.2171
125PE8REE,0.3613
1267QCELR8,0.6212
12CP5D8YKZ,0.4853
12HF2JH5PO,1.0
12RXY58078,0.3056
12YL3ARS11,0.1695
12Z3HNBY11,0.4053
130BUYLZ7E,0.3932
130Y5FDPGP,0.3455
131WTUJVKM,0.5258
132YA0Q7ZX,0.4624
133LU98GC6,0.1734
13BQ3XZEY7,0.5364
13G7S0ORMH,0.3773
13KJ6FTANO,0.0
13MOD5J5KI,0.6969
13ORJMQLN3,0.481
13Q8OSVP8A,0.4405
13R0XN9V0P,0.1439
13RM2ICS38,0.6572
13VCQUYTM0,0.2814
13YOBHXV25,0.4886
13Z0OYF52W,0.2101
13Z4KVQSKK,0.3081
143EIBAN4F,0.1577
143J019QOE,0.0835
143W25HD94,0.2152
14AXZMZ426,0.227
14IMD2OXNQ,0.5041
14J0K78NPC,0.1063
14OBT7LVS1,0.113
14QEQB1UOI,0.3487
14TS3GANGH,0.0985
14VGE7DE7G,0.2259
14YKGV0BZP,0.4223
14YX2TXHDZ,0.0682
150HT7MSQA,0.5365
150MD8QAO1,0.5589
1528KHXJT4,0.1206
156G0NX3T8,0.4585
157FGJGIZC,0.6826
15896PYG9B,0.2586
158Q7NBFX8,0.9007
159ZC56HQQ,0.3051
15CZZM7727,0.6882
15F897BVBT,0.6234
15IH5JYP29,0.2117
15NOV43JBM,0.0141
15SKPEYU48,0.4639
15TI6ID7CO,0.3416
15UF4ZUKQY,0.7618
15VOE8COWO,0.1073
15WQO3NHYA,0.1684
160WQ1JBR,0.2596
161CUIFZ1G,0.3071
1624VFJ4IM,0.2599
163GJ2Q6VN,0.3034
163SY1SBFC,0.1056
166GTUQSRZ,0.2834
16DIMZMQK3,0.7724
16G54F7HPQ,0.6515
16LWJF24J6,0.139
16NKIYQFLZ,0.0625
16QMQZL8WO,0.3988
16QMVEW4CO,0.2738
16TIIW0JAC,0.5055
171IEZILO5,0.1947
1726JTIV1X,0.6321
173JYGBX0O,0.4618
