class_id,ut_id,ref_class
100VH25818,1JP23ZDV6R,1M6QPX9MCM
100VH25818,1JP23ZDV6R,2CC531MM66
100VH25818,1JP23ZDV6R,3TT919GQ0
100VH25818,1MOJEXDKSA,2E137NO140
100VH25818,1MOJEXDKSA,BAVWXN2WM
100VH25818,1MOJEXDKSA,F6KSSJPYO
100VH25818,1MOJEXDKSA,N6GKAGP3L
100VH25818,1MOJEXDKSA,VI5OCBZU0
101DWZ8JPV,2NCU4SKWK,20TB11C64K
101DWZ8JPV,2NCU4SKWK,29PJ8EBQDP
101DWZ8JPV,2NCU4SKWK,2P49C91Z59
101DWZ8JPV,2NCU4SKWK,DUD0QXVS3
101DWZ8JPV,2NCU4SKWK,POPV1I6O8
101DWZ8JPV,2NCU4SKWK,VCVE2R9R1
101DWZ8JPV,42ZJIQBIE,103OAY5E1O
101DWZ8JPV,42ZJIQBIE,1E1IWF6N67
101DWZ8JPV,42ZJIQBIE,1RMV25AZ4M
101DWZ8JPV,42ZJIQBIE,1XO8OG0EAH
101DWZ8JPV,42ZJIQBIE,DUD0QXVS3
101DWZ8JPV,42ZJIQBIE,WSQSD89SJ
101DWZ8JPV,G3SWY48TK,1JZJZGZ13B
101DWZ8JPV,G3SWY48TK,20UUYT6YTD
101DWZ8JPV,G3SWY48TK,DUD0QXVS3
101DWZ8JPV,G3SWY48TK,M0ZR9LEEQ
101DWZ8JPV,G3SWY48TK,VCVE2R9R1
101DWZ8JPV,G3SWY48TK,WSQSD89SJ
101RQV99VA,1CRN82227G,1BPADLKKEB
101RQV99VA,1CRN82227G,1CWFC0QJR6
101RQV99VA,1CRN82227G,2AF4S37LOT
101RQV99VA,1CRN82227G,2QQ8B3RX79
101RQV99VA,1CRN82227G,DMIYVNY0F
103OAY5E1O,42ZJIQBIE,13K833Y1Q0
103OAY5E1O,42ZJIQBIE,1BISI81DT0
103OAY5E1O,42ZJIQBIE,1S7Z561MVJ
103OAY5E1O,42ZJIQBIE,260NQSV7BH
103OAY5E1O,42ZJIQBIE,3CLZMY2L1
103OAY5E1O,42ZJIQBIE,PAVMWXYY4
103OAY5E1O,G3SWY48TK,101DWZ8JPV
103OAY5E1O,G3SWY48TK,11QUDAQZHD
103OAY5E1O,G3SWY48TK,1CIM8NXULB
103OAY5E1O,G3SWY48TK,1E1IWF6N67
103OAY5E1O,G3SWY48TK,7ZTQA56FO
103OAY5E1O,G3SWY48TK,M0ZR9LEEQ
103OAY5E1O,G3SWY48TK,POPV1I6O8
103OAY5E1O,G3SWY48TK,QK7S55D8U
104P25L8L4,1CRN82227G,28KKN37EPA
104P25L8L4,1CRN82227G,2DPQ4PTU1W
